order,family,subfamily,genus,subgenus,species,spauthor,year_described,common_name,gaa_name,syn1,syn2,syn3,syn4,syn5,syn6,itis_names,iucn,isocc,Genus_species,Tympanic.membrane,Tympanic.annulus,Columella,Collapsed_SVL,Microhabitat,Source,alt_mean,alt_min,alt_max,latitude_mean,latitude_min,latitude_max,mean_temp,min_temp,max_temp,df,ActiveTime,ear
Anura,Bufonidae,,Rhinella,,sclerocephala,"(Mijares-Urrutia & Arends-R., 2001)",NA,,Rhinella sclerocephala,Bufo_sclerocephalus,NA,NA,NA,NA,NA,Bufo sclerocephalus,Vulnerable (VU),VE,Rhinella_sclerocephala,1,1,1inf,NA,arboreal,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Rhinella,,sebbeni,"Vaz-Silva, Maciel, Bastos & Pombal, 2015",2015,,,,NA,NA,NA,NA,NA,,,BR,Rhinella_sebbeni,1,1,1inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Rhinella,,spinulosa,"(Wiegmann, 1834)",NA,,Rhinella spinulosa,Bufo_nigricans,_Bufo_spinulosus,_Bufo_simus,_Rhinella_arequipensis,NA,NA,"Bufo nigricans, Bufo spinulosus, Bufo simus",Least Concern (LC),"AR,BO,CL,PE",Rhinella_spinulosa,1,1,1,0,NA,NA,2559.063241,151,4841,-26.7158996,-43.8074,-9.7,80.33596838,12,213,NA,__,Y
Anura,Bufonidae,,Rhinella,,stanlaii,"(Lötters & Köhler, 2000)",NA,,Rhinella stanlaii,Bufo_stanlaii,NA,NA,NA,NA,NA,Bufo stanlaii,Least Concern (LC),BO,Rhinella_stanlaii,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Rhinella,,sternosignata,"(Günther, 1858)",NA,,Rhinella sternosignata,Bufo_sternosignatus,NA,NA,NA,NA,NA,Bufo sternosignatus,Least Concern (LC),"CO,VE",Rhinella_sternosignata,1,1,1,NA,terrestrial,IUCN 2014,1167.75,824,1785,7.86507875,5.13333,10.53333,205.5,164,228,NA,__,Y
Anura,Bufonidae,,Rhinella,,tacana,"(Padial, Reichle, McDiarmid & De la Riva, 2006)",2006,,Rhinella tacana,,NA,NA,NA,NA,NA,,Least Concern (LC),"BO,PE",Rhinella_tacana,1,1,1inf,NA,arboreal,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Rhinella,,tenrec,"(Lynch & Renjifo, 1990)",NA,,Rhinella tenrec,Rhamphophryne_tenrec,NA,NA,NA,NA,NA,Rhamphophryne tenrec,Endangered (EN),CO,Rhinella_tenrec,0,0,0,NA,terrestrial,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
Anura,Bufonidae,,Rhinella,,truebae,"(Lynch & Renjifo, 1990)",NA,,Rhinella truebae,Rhamphophryne_truebae,NA,NA,NA,NA,NA,Rhamphophryne truebae,Data Deficient (DD),CO,Rhinella_truebae,1,1inf,1inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Rhinella,,vellardi,"(Leviton & Duellman, 1978)",NA,,Rhinella vellardi,Bufo_vellardi,NA,NA,NA,NA,NA,Bufo vellardi,Endangered (EN),PE,Rhinella_vellardi,?,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Rhinella,,veredas,"(Brandão, Maciel & Sebben, 2007)",2007,,Rhinella veredas,,NA,NA,NA,NA,NA,,Least Concern (LC),BR,Rhinella_veredas,1,1,1inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
