order,family,subfamily,genus,subgenus,species,spauthor,year_described,common_name,gaa_name,syn1,syn2,syn3,syn4,syn5,syn6,itis_names,iucn,isocc,Genus_species,Tympanic.membrane,Tympanic.annulus,Columella,Collapsed_SVL,Microhabitat,Source,alt_mean,alt_min,alt_max,latitude_mean,latitude_min,latitude_max,mean_temp,min_temp,max_temp,df,ActiveTime,ear
Anura,Bufonidae,,Rhinella,,hoogmoedi,"Caramaschi & Pombal, 2006",2006,,Rhinella hoogmoedi,,NA,NA,NA,NA,NA,,Least Concern (LC),BR,Rhinella_hoogmoedi,1,1,1inf,NA,arboreal,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Rhinella,,humboldti,"(Gallardo, 1965)",NA,,Rhinella beebei,Bufo_humboldti,_Rhinella_beebei,_Chaunus_beebei,NA,NA,NA,"Chaunus beebei, Rhinella beebei",Least Concern (LC),CO,Rhinella_humboldti,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3150,__,Y
Anura,Bufonidae,,Rhinella,,icterica,"(Spix, 1824)",NA,Yellow Cururu Toad,Rhinella icterica,Bufo_ictericus,_Bufo_missionum,_Bufo_bimaculatus,NA,NA,NA,"Bufo ictericus, Bufo missionum, Bufo bimaculatus",Least Concern (LC),"AR,BR,PY",Rhinella_icterica,1,1,1,190,terrestrial,"Ron Heyer, personal communication",445.8695652,9,1205,-25.22696522,-29.68333,-18.73333,196.0434783,162,241,646,D__,Y
Anura,Bufonidae,,Rhinella,,inopina,"Vaz-Silva, Valdujo & Pombal, 2012",2012,,,,NA,NA,NA,NA,NA,,,BR,Rhinella_inopina,1,1,1inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070,__,Y
Anura,Bufonidae,,Rhinella,,iserni,"(Jiménez de la Espada, 1875)",NA,,Rhinella iserni,Bufo_iserni,_Rhinella_yunga,NA,NA,NA,NA,Bufo iserni,Data Deficient (DD),PE,Rhinella_iserni,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
Anura,Bufonidae,,Rhinella,,leptoscelis,"(Boulenger, 1912)",1912,,,,NA,NA,NA,NA,NA,,Near Threatened (NT),"BO,PE",Rhinella_leptoscelis,1,1,1inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Rhinella,,lescurei,"Fouquet, Gaucher, Blanc & Vélez-Rodriguez, 2007",2007,,Rhinella lescurei,,NA,NA,NA,NA,NA,,Least Concern (LC),"GF,SR",Rhinella_lescurei,1,1,1inf,NA,arboreal,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160,D__,Y
Anura,Bufonidae,,Rhinella,,limensis,"(Werner, 1901)",NA,,Rhinella limensis,Bufo_limensis,NA,NA,NA,NA,NA,Bufo limensis,Least Concern (LC),PE,Rhinella_limensis,1,1,1,0,NA,NA,317,79,805,-9.884723333,-10.0275,-9.48333,187.5,177,195,NA,__,Y
Anura,Bufonidae,,Rhinella,,macrorhina,"(Trueb, 1971)",NA,,Rhinella macrorhina,Rhamphophryne_macrorhina,NA,NA,NA,NA,NA,Rhamphophryne macrorhina,Vulnerable (VU),CO,Rhinella_macrorhina,0,0,0,0,terrestrial,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
Anura,Bufonidae,,Rhinella,,magnussoni,"Lima, Menin & Araújo, 2007",2007,,Rhinella magnussoni,,NA,NA,NA,NA,NA,,Least Concern (LC),BR,Rhinella_magnussoni,1,1,1inf,NA,terrestrial,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D__,Y
Anura,Bufonidae,,Rhinella,,major,"(Müller & Hellmich, 1936)",2009,,,Bufo_major,NA,NA,NA,NA,NA,,,"AR,BO,BR,PY",Rhinella_major,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Rhinella,,manu,"Chaparro, Pramuk & Gluesenkamp, 2007",2007,,Rhinella manu,,NA,NA,NA,NA,NA,,Least Concern (LC),PE,Rhinella_manu,1,1,1,41.8,arboreal,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__N,Y
Anura,Bufonidae,,Rhinella,,margaritifera,"(Laurenti, 1768)",NA,"South American Common Toad, Mitred Toad",Rhinella margaritifera,Bufo_margaritifer,_Rana_margaritifera,_Rana_gemmata,_Rhinella_martyi,_margaritifera,NA,"Bufo margaritifer, Rana margaritifera, Rana gemmata",Least Concern (LC),"BR,CO,EC,GF,GY,PE,SR",Rhinella_margaritifera,1,1,1,75.3,terrestrial,IUCN 2014; Duellman 2005,185.2040816,2,669,-0.851415686,-22.93333,9.33333,261.6862745,218,283,1500,D__,Y
Anura,Bufonidae,,Rhinella,,marina,"(Linnaeus, 1758)",NA,"Marine Toad, South American Cane Toad, Cane Toad, Giant Toad",Rhinella marina,Bufo_marinus,_Rhinella_marinus,_Chaunus_marina,_Rana_marina,_Bufo_brasiliensis,NA,"Bufo marinus, Rana marina, Bufo brasiliensis",Least Concern (LC),"AI,AG,AW,AU,BB,BO,BR,KY,CO,CR,DO,EC,FJ,GF,GD,GP,GU,GY,HT,JM,JP,MQ,MU,MS,MP,PG,PE,PH,PR,KN,LC,VC,SB,SR,TW,TT,US,VE,VI",Rhinella_marina,1,1,1,241,terrestrial,IUCN 2014; Duellman 2005,180.6471031,1,1804,-10.60530639,-29.40970003,28.24528,223.0356612,153,282,614,D__N,Y
Anura,Bufonidae,,Rhinella,,merianae,"(Gallardo, 1965)",2009,,,Bufo_merianae,NA,NA,NA,NA,NA,,,"BR,GY,SR,VE",Rhinella_merianae,1,1,1inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2315,__,Y
Anura,Bufonidae,,Rhinella,,mirandaribeiroi,"(Gallardo, 1965)",2009,,,Bufo_mirandaribeiroi,NA,NA,NA,NA,NA,,,"BO,BR",Rhinella_mirandaribeiroi,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Rhinella,,multiverrucosa,"(Lehr, Pramuk & Lundberg, 2005)",2005,,Rhinella multiverrucosa,,NA,NA,NA,NA,NA,,Data Deficient (DD),PE,Rhinella_multiverrucosa,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Rhinella,,nattereri,"(Bokermann, 1967)",2009,,,Bufo_nattereri,NA,NA,NA,NA,NA,,,"BR,GY,VE",Rhinella_nattereri,1,1,1inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Rhinella,,nesiotes,"(Duellman & Toft, 1979)",NA,,Rhinella nesiotes,Bufo_nesiotes,NA,NA,NA,NA,NA,Bufo nesiotes,Vulnerable (VU),PE,Rhinella_nesiotes,1,1,1inf,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__N,Y
Anura,Bufonidae,,Rhinella,,nicefori,"(Cochran & Goin, 1970)",NA,,Rhinella nicefori,Rhamphophryne_nicefori,NA,NA,NA,NA,NA,Rhamphophryne nicefori,Endangered (EN),CO,Rhinella_nicefori,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
Anura,Bufonidae,,Rhinella,,ocellata,"(Günther, 1858)",NA,,Rhinella ocellata,Bufo_ocellatus,NA,NA,NA,NA,NA,Bufo ocellatus,Least Concern (LC),BR,Rhinella_ocellata,1,1,1,53,terrestrial,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1378,__,Y
Anura,Bufonidae,,Rhinella,,ornata,"(Spix, 1824)",NA,,Rhinella ornata,Bufo_ornatus,_Rhinella_abei,NA,NA,NA,NA,,Least Concern (LC),BR,Rhinella_ornata,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1286,D__N,Y
Anura,Bufonidae,,Rhinella,,poeppigii,"(Tschudi, 1845)",NA,,Rhinella poeppigii,Bufo_poeppigii,_Bufo_molitor,_Phrynoidis_molitor,NA,NA,NA,"Bufo poeppigii, Bufo molitor, Phrynoidis molitor",Least Concern (LC),"BO,CO,EC,PE",Rhinella_poeppigii,1,1,1,95.8,terrestrial,de la Riva 2002,277.1666667,172,425,-12.073845,-17.61474,-9.28333,253,239,264,950,__,Y
Anura,Bufonidae,,Rhinella,,proboscidea,"(Spix, 1824)",2013,,Rhinella proboscidea,,NA,NA,NA,NA,NA,,Least Concern (LC),"BR,CO,EC,PE",Rhinella_proboscidea,1,1,1,NA,terrestrial,AmphibiaWeb 2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1373,D__,Y
Anura,Bufonidae,,Rhinella,,pygmaea,"(Myers & Carvalho, 1952)",NA,,Rhinella pygmaea,Bufo_pygmaeus,NA,NA,NA,NA,NA,Bufo pygmaeus,Least Concern (LC),BR,Rhinella_pygmaea,1,1,1,NA,NA,NA,4,4,4,-21.63333,-21.63333,-21.63333,230,230,230,2593,__,Y
Anura,Bufonidae,,Rhinella,,roqueana,"(Melin, 1941)",NA,,Rhinella roqueana,Bufo_roqueanus,_Bufo_typhonius_roqueanus,NA,NA,NA,NA,"Bufo roqueanus, Bufo typhonius roqueanus",Least Concern (LC),"CO,EC,PE",Rhinella_roqueana,1,1inf,1inf,NA,terrestrial,IUCN 2014,627,627,627,-2.05,-2.05,-2.05,229,229,229,NA,__,Y
Anura,Bufonidae,,Rhinella,,rostrata,"(Noble, 1920)",NA,Mesopotamian Beaked Toad,Rhinella rostrata,Bufo_rostratus,_Rhamphophryne_rostrata,_Rhamphophryne_rostratus,NA,NA,NA,"Bufo rostratus, Rhamphophryne rostrata, Rhamphophryne rostratus",Critically Endangered (CR),CO,Rhinella_rostrata,0,0,0,0,terrestrial,AmphibiaWeb 2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
Anura,Bufonidae,,Rhinella,,rubescens,"(Lutz, 1925)",NA,,Rhinella rubescens,Bufo_rufus,_Bufo_rubescens,_Chaunus_rubescens,NA,NA,NA,"Bufo rufus, Bufo rubescens, Chaunus rubescens",Least Concern (LC),BR,Rhinella_rubescens,1,1,1,NA,NA,NA,840.6666667,795,873,-20.36666667,-21.55,-19.63333,206,201,214,NA,__,Y
Anura,Bufonidae,,Rhinella,,rubropunctata,"(Guichenot, 1848)",NA,,Rhinella rubropunctata,Bufo_rubropunctatus,_Phryne_rubropunctata,_Chaunus_rubropunctatus,NA,NA,NA,"Bufo rubropunctatus, Phryne rubropunctata, Chaunus rubropunctatus",Vulnerable (VU),"CL,AR",Rhinella_rubropunctata,1,1,1,NA,NA,NA,162.25,9,220,-41.089285,-42.22498,-37.92,107,96,125,NA,__,Y
Anura,Bufonidae,,Rhinella,,ruizi,"(Grant, 2000)",NA,,Rhinella ruizi,Rhamphophryne_ruizi,NA,NA,NA,NA,NA,Rhamphophryne ruizi,Vulnerable (VU),CO,Rhinella_ruizi,0,0,0,NA,semi.arboreal,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
Anura,Bufonidae,,Rhinella,,rumbolli,"(Carrizo, 1992)",NA,,Rhinella rumbolli,Bufo_rumbolli,NA,NA,NA,NA,NA,Bufo rumbolli,Near Threatened (NT),AR,Rhinella_rumbolli,1,1,1inf,NA,terrestrial,IUCN 2014,964.75,700,1378,-22.61551,-22.67304,-22.51749,198.75,189,204,NA,__,Y
Anura,Bufonidae,,Rhinella,,schneideri,"(Werner, 1894)",NA,"Cururu Toad, Rococo Toad",Rhinella schneideri,Bufo_paracnemis,_Bufo_schneideri,_Chaunus_schneideri,NA,NA,NA,"Bufo paracnemis, Bufo schneideri, Chaunus schneideri",Least Concern (LC),"AR,BO,BR,PY,UY",Rhinella_schneideri,1,1,1,250,semi.burrowing,AmphibiaWeb 2016,189.1165644,13,1041,-24.58565595,-31.86517,-5.1,221.3006135,162,269,700,__,Y
Anura,Bufonidae,,Rhinella,,scitula,"(Caramaschi & Niemeyer, 2003)",2003,,Rhinella scitula,Bufo_scitulus,_Rhinella_paraguayensis,NA,NA,NA,NA,Bufo scitulus,Data Deficient (DD),"BR,PY",Rhinella_scitula,1,1,1inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
